Freq.	V(n011)/I(unbalanced)
1.46408569594563e+00	(8.29407955731105e+01dB,1.29208193596475e+02°)
1.47426921729111e+00	(8.29047491870901e+01dB,1.29402849712913e+02°)
1.48452357062906e+00	(8.28689035963489e+01dB,1.29597767858189e+02°)
1.49484924863494e+00	(8.28332593325927e+01dB,1.29792939348582e+02°)
1.50524674741107e+00	(8.27978169102212e+01dB,1.29988355442064e+02°)
1.51571656651040e+00	(8.27625768261402e+01dB,1.30184007340138e+02°)
1.52625920896057e+00	(8.27275395595799e+01dB,1.30379886189716e+02°)
1.53687518128802e+00	(8.26927055719184e+01dB,1.30575983085003e+02°)
1.54756499354240e+00	(8.26580753065122e+01dB,1.30772289069442e+02°)
1.55832915932101e+00	(8.26236491885314e+01dB,1.30968795137656e+02°)
1.56916819579351e+00	(8.25894276248020e+01dB,1.31165492237441e+02°)
1.58008262372676e+00	(8.25554110036549e+01dB,1.31362371271774e+02°)
1.59107296750985e+00	(8.25215996947800e+01dB,1.31559423100848e+02°)
1.60213975517925e+00	(8.24879940490887e+01dB,1.31756638544134e+02°)
1.61328351844426e+00	(8.24545943985810e+01dB,1.31954008382462e+02°)
1.62450479271248e+00	(8.24214010562215e+01dB,1.32151523360129e+02°)
1.63580411711557e+00	(8.23884143158210e+01dB,1.32349174187027e+02°)
1.64718203453516e+00	(8.23556344519249e+01dB,1.32546951540780e+02°)
1.65863909162889e+00	(8.23230617197096e+01dB,1.32744846068922e+02°)
1.67017583885675e+00	(8.22906963548855e+01dB,1.32942848391068e+02°)
1.68179283050744e+00	(8.22585385736075e+01dB,1.33140949101120e+02°)
1.69349062472506e+00	(8.22265885723920e+01dB,1.33339138769472e+02°)
1.70526978353592e+00	(8.21948465280428e+01dB,1.33537407945246e+02°)
1.71713087287552e+00	(8.21633125975829e+01dB,1.33735747158527e+02°)
1.72907446261574e+00	(8.21319869181945e+01dB,1.33934146922609e+02°)
1.74110112659226e+00	(8.21008696071667e+01dB,1.34132597736263e+02°)
1.75321144263208e+00	(8.20699607618503e+01dB,1.34331090086000e+02°)
1.76540599258132e+00	(8.20392604596206e+01dB,1.34529614448349e+02°)
1.77768536233315e+00	(8.20087687578478e+01dB,1.34728161292138e+02°)
1.79005014185596e+00	(8.19784856938744e+01dB,1.34926721080780e+02°)
1.80250092522167e+00	(8.19484112850019e+01dB,1.35125284274564e+02°)
1.81503831063433e+00	(8.19185455284826e+01dB,1.35323841332940e+02°)
1.82766290045881e+00	(8.18888884015224e+01dB,1.35522382716819e+02°)
1.84037530124976e+00	(8.18594398612884e+01dB,1.35720898890860e+02°)
1.85317612378075e+00	(8.18301998449256e+01dB,1.35919380325755e+02°)
1.86606598307363e+00	(8.18011682695813e+01dB,1.36117817500519e+02°)
1.87904549842804e+00	(8.17723450324364e+01dB,1.36316200904768e+02°)
1.89211529345120e+00	(8.17437300107456e+01dB,1.36514521040994e+02°)
1.90527599608789e+00	(8.17153230618838e+01dB,1.36712768426829e+02°)
1.91852823865054e+00	(8.16871240234009e+01dB,1.36910933597307e+02°)
1.93187265784970e+00	(8.16591327130841e+01dB,1.37109007107103e+02°)
1.94530989482459e+00	(8.16313489290268e+01dB,1.37306979532778e+02°)
1.95884059517387e+00	(8.16037724497071e+01dB,1.37504841475000e+02°)
1.97246540898673e+00	(8.15764030340705e+01dB,1.37702583560748e+02°)
1.98618499087409e+00	(8.15492404216227e+01dB,1.37900196445512e+02°)
2.00000000000002e+00	(8.15222843325280e+01dB,1.38097670815468e+02°)
2.01391110011345e+00	(8.14955344677153e+01dB,1.38294997389636e+02°)
2.02791895958007e+00	(8.14689905089915e+01dB,1.38492166922026e+02°)
2.04202425141440e+00	(8.14426521191612e+01dB,1.38689170203754e+02°)
2.05622765331215e+00	(8.14165189421534e+01dB,1.38885998065142e+02°)
2.07052984768277e+00	(8.13905906031557e+01dB,1.39082641377798e+02°)
2.08493152168226e+00	(8.13648667087538e+01dB,1.39279091056667e+02°)
2.09943336724615e+00	(8.13393468470794e+01dB,1.39475338062060e+02°)
2.11403608112278e+00	(8.13140305879626e+01dB,1.39671373401662e+02°)
2.12874036490674e+00	(8.12889174830917e+01dB,1.39867188132501e+02°)
2.14354692507260e+00	(8.12640070661786e+01dB,1.40062773362902e+02°)
2.15845647300887e+00	(8.12392988531319e+01dB,1.40258120254408e+02°)
2.17346972505213e+00	(8.12147923422332e+01dB,1.40453220023670e+02°)
2.18858740252150e+00	(8.11904870143209e+01dB,1.40648063944301e+02°)
2.20381023175324e+00	(8.11663823329805e+01dB,1.40842643348718e+02°)
2.21913894413571e+00	(8.11424777447377e+01dB,1.41036949629924e+02°)
2.23457427614446e+00	(8.11187726792595e+01dB,1.41230974243282e+02°)
2.25011696937764e+00	(8.10952665495590e+01dB,1.41424708708238e+02°)
2.26576777059162e+00	(8.10719587522064e+01dB,1.41618144610021e+02°)
2.28152743173687e+00	(8.10488486675426e+01dB,1.41811273601296e+02°)
2.29739670999409e+00	(8.10259356599011e+01dB,1.42004087403793e+02°)
2.31337636781060e+00	(8.10032190778313e+01dB,1.42196577809892e+02°)
2.32946717293693e+00	(8.09806982543280e+01dB,1.42388736684170e+02°)
2.34566989846378e+00	(8.09583725070638e+01dB,1.42580555964913e+02°)
2.36198532285908e+00	(8.09362411386276e+01dB,1.42772027665594e+02°)
2.37841423000546e+00	(8.09143034367645e+01dB,1.42963143876295e+02°)
2.39495740923788e+00	(8.08925586746220e+01dB,1.43153896765114e+02°)
2.41161565538154e+00	(8.08710061109973e+01dB,1.43344278579511e+02°)
2.42838976879012e+00	(8.08496449905904e+01dB,1.43534281647627e+02°)
2.44528055538416e+00	(8.08284745442581e+01dB,1.43723898379551e+02°)
2.46228882668986e+00	(8.08074939892734e+01dB,1.43913121268560e+02°)
2.47941539987800e+00	(8.07867025295853e+01dB,1.44101942892302e+02°)
2.49666109780325e+00	(8.07660993560836e+01dB,1.44290355913952e+02°)
2.51402674904368e+00	(8.07456836468647e+01dB,1.44478353083313e+02°)
2.53151318794059e+00	(8.07254545675011e+01dB,1.44665927237890e+02°)
2.54912125463855e+00	(8.07054112713108e+01dB,1.44853071303903e+02°)
2.56685179512583e+00	(8.06855528996317e+01dB,1.45039778297274e+02°)
2.58470566127501e+00	(8.06658785820953e+01dB,1.45226041324565e+02°)
2.60268371088389e+00	(8.06463874369036e+01dB,1.45411853583873e+02°)
2.62078680771675e+00	(8.06270785711067e+01dB,1.45597208365684e+02°)
2.63901582154582e+00	(8.06079510808827e+01dB,1.45782099053684e+02°)
2.65737162819305e+00	(8.05890040518169e+01dB,1.45966519125527e+02°)
2.67585510957225e+00	(8.05702365591841e+01dB,1.46150462153565e+02°)
2.69446715373141e+00	(8.05516476682305e+01dB,1.46333921805526e+02°)
2.71320865489537e+00	(8.05332364344567e+01dB,1.46516891845162e+02°)
2.73208051350882e+00	(8.05150019039004e+01dB,1.46699366132845e+02°)
2.75108363627952e+00	(8.04969431134210e+01dB,1.46881338626131e+02°)
2.77021893622188e+00	(8.04790590909828e+01dB,1.47062803380269e+02°)
2.78948733270084e+00	(8.04613488559393e+01dB,1.47243754548686e+02°)
2.80888975147603e+00	(8.04438114193164e+01dB,1.47424186383413e+02°)
2.82842712474622e+00	(8.04264457840964e+01dB,1.47604093235487e+02°)
2.84810039119418e+00	(8.04092509455009e+01dB,1.47783469555300e+02°)
2.86791049603169e+00	(8.03922258912729e+01dB,1.47962309892917e+02°)
2.88785839104503e+00	(8.03753696019594e+01dB,1.48140608898346e+02°)
2.90794503464065e+00	(8.03586810511912e+01dB,1.48318361321778e+02°)
2.92817139189129e+00	(8.03421592059637e+01dB,1.48495562013781e+02°)
2.94853843458224e+00	(8.03258030269152e+01dB,1.48672205925461e+02°)
2.96904714125813e+00	(8.03096114686042e+01dB,1.48848288108578e+02°)
2.98969849726991e+00	(8.02935834797862e+01dB,1.49023803715635e+02°)
3.01049349482217e+00	(8.02777180036879e+01dB,1.49198747999922e+02°)
3.03143313302083e+00	(8.02620139782802e+01dB,1.49373116315529e+02°)
3.05251841792116e+00	(8.02464703365488e+01dB,1.49546904117314e+02°)
