Freq.	V(cold)/I(cold)	V(hot)/I(hot)
2.34566989846378e+00	(7.86574260231888e+01dB,1.37213383995621e+02°)	(8.43454059562815e+01dB,1.55704535683231e+02°)
2.36198532285908e+00	(7.86318104090440e+01dB,1.37435278101319e+02°)	(8.43352737194016e+01dB,1.55853106623191e+02°)
2.37841423000546e+00	(7.86064298205399e+01dB,1.37656748343180e+02°)	(8.43252577694397e+01dB,1.56000993831829e+02°)
2.39495740923788e+00	(7.85812831906554e+01dB,1.37877784727059e+02°)	(8.43153570356656e+01dB,1.56148196530580e+02°)
2.41161565538154e+00	(7.85563694363975e+01dB,1.38098377388182e+02°)	(8.43055704511521e+01dB,1.56294714016940e+02°)
2.42838976879012e+00	(7.85316874592007e+01dB,1.38318516592133e+02°)	(8.42958969529068e+01dB,1.56440545663529e+02°)
2.44528055538416e+00	(7.85072361453243e+01dB,1.38538192735771e+02°)	(8.42863354820023e+01dB,1.56585690917157e+02°)
2.46228882668986e+00	(7.84830143662520e+01dB,1.38757396348096e+02°)	(8.42768849837002e+01dB,1.56730149297872e+02°)
2.47941539987800e+00	(7.84590209790900e+01dB,1.38976118091063e+02°)	(8.42675444075761e+01dB,1.56873920398024e+02°)
2.49666109780325e+00	(7.84352548269664e+01dB,1.39194348760333e+02°)	(8.42583127076360e+01dB,1.57017003881297e+02°)
2.51402674904368e+00	(7.84117147394292e+01dB,1.39412079285975e+02°)	(8.42491888424332e+01dB,1.57159399481758e+02°)
2.53151318794059e+00	(7.83883995328441e+01dB,1.39629300733101e+02°)	(8.42401717751785e+01dB,1.57301107002893e+02°)
2.54912125463855e+00	(7.83653080107925e+01dB,1.39846004302468e+02°)	(8.42312604738495e+01dB,1.57442126316641e+02°)
2.56685179512583e+00	(7.83424389644672e+01dB,1.40062181331003e+02°)	(8.42224539112939e+01dB,1.57582457362423e+02°)
2.58470566127501e+00	(7.83197911730681e+01dB,1.40277823292286e+02°)	(8.42137510653332e+01dB,1.57722100146178e+02°)
2.60268371088389e+00	(7.82973634041967e+01dB,1.40492921796983e+02°)	(8.42051509188577e+01dB,1.57861054739382e+02°)
2.62078680771675e+00	(7.82751544142482e+01dB,1.40707468593215e+02°)	(8.41966524599244e+01dB,1.57999321278083e+02°)
2.63901582154582e+00	(7.82531629488034e+01dB,1.40921455566888e+02°)	(8.41882546818451e+01dB,1.58136899961919e+02°)
2.65737162819305e+00	(7.82313877430184e+01dB,1.41134874741963e+02°)	(8.41799565832764e+01dB,1.58273791053147e+02°)
2.67585510957225e+00	(7.82098275220120e+01dB,1.41347718280678e+02°)	(8.41717571683031e+01dB,1.58409994875667e+02°)
2.69446715373141e+00	(7.81884810012513e+01dB,1.41559978483720e+02°)	(8.41636554465220e+01dB,1.58545511814049e+02°)
2.71320865489537e+00	(7.81673468869358e+01dB,1.41771647790350e+02°)	(8.41556504331165e+01dB,1.58680342312553e+02°)
2.73208051350882e+00	(7.81464238763781e+01dB,1.41982718778477e+02°)	(8.41477411489368e+01dB,1.58814486874168e+02°)
2.75108363627952e+00	(7.81257106583833e+01dB,1.42193184164683e+02°)	(8.41399266205667e+01dB,1.58947946059628e+02°)
2.77021893622188e+00	(7.81052059136242e+01dB,1.42403036804202e+02°)	(8.41322058803973e+01dB,1.59080720486454e+02°)
2.78948733270084e+00	(7.80849083150162e+01dB,1.42612269690861e+02°)	(8.41245779666897e+01dB,1.59212810827980e+02°)
